--- Startup times for process: Primary/TUI ---

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines
036.887  002.368  000.891: require('telescope.make_entry')
286.166  001.325  000.889: require('nui.split')
395.157  000.888  000.888: require('cmp.utils.snippet')
337.090  011.507  000.887: require('lspconfig.util')
040.258  002.481  000.886: require('telescope.make_entry')
479.878  014.517  000.886: require('nui.layout')
300.296  001.295  000.885: require('nui.split')
077.134  001.581  000.885: sourcing /usr/share/nvim_plugged/dracula/colors/dracula.lua
403.827  024.517  000.884: require('cmp')
116.234  000.884  000.884: require('telescope.mappings')
173.654  005.272  000.883: require('vim.lsp')
281.727  001.552  000.877: require('telescope._extensions.file_browser.actions')
413.079  001.232  000.876: require('cmp.view.custom_entries_view')
088.042  001.206  000.876: require('luasnip.util._builtin_vars')
205.582  000.876  000.876: require('luasnip.util.log')
232.097  000.875  000.875: require('luasnip.util.jsonc')
219.492  002.100  000.875: require('luasnip.util._builtin_vars')
041.514  002.435  000.872: require('telescope.make_entry')
141.850  005.937  000.871: require('nvim-devdocs.operations')
172.696  000.870  000.870: require('toggleterm.commandline')
017.421  000.869  000.869: require('mini.indentscope')
475.277  000.868  000.868: require('nui.utils.keymap')
403.384  001.205  000.866: require('cmp.view.custom_entries_view')
168.848  000.863  000.863: require('todo-comments.highlight')
102.583  002.158  000.858: require('plenary.popup')
108.830  002.165  000.855: require('plenary.popup')
218.839  001.947  000.855: require('luasnip.util._builtin_vars')
329.288  011.846  000.852: require('lspconfig.util')
227.113  002.702  000.852: require('luasnip.util.parser.ast_utils')
077.804  001.631  000.851: sourcing /usr/share/nvim_plugged/dracula/colors/dracula.lua
133.846  001.857  000.846: require('nvim-devdocs.build')
491.793  000.837  000.837: require('nui.layout.utils')
017.909  000.835  000.835: require('mini.indentscope')
008.285  001.197  000.834: sourcing /usr/share/nvim/runtime/filetype.lua
155.736  005.744  000.832: require('nvim-treesitter.info')
017.169  000.831  000.831: require('mini.indentscope')
142.209  000.830  000.830: require('plenary.curl')
083.116  000.829  000.829: require('conform')
199.635  002.525  000.828: require('luasnip.default_config')
083.510  000.824  000.824: require('conform')
163.341  005.513  000.822: require('nvim-treesitter.info')
143.616  000.821  000.821: require('nvim-devdocs.transpiler')
408.555  000.820  000.820: require('cmp.utils.snippet')
144.556  003.973  000.816: require('nvim-devdocs.operations')
079.035  000.809  000.809: require('conform')
090.123  001.069  000.808: require('luasnip.nodes.util')
399.014  000.807  000.807: require('cmp.utils.snippet')
501.850  000.805  000.805: sourcing /usr/share/nvim/runtime/plugin/netrwPlugin.vim
102.155  000.802  000.802: require('plenary.class')
082.497  005.867  000.802: require('plenary.log')
205.740  004.388  000.799: require('luasnip.loaders.util')
017.706  000.797  000.797: require('mini.indentscope')
086.649  000.797  000.797: require('luasnip.loaders.fs_watchers')
132.365  000.796  000.796: require('telescope.previewers.utils')
016.511  000.794  000.794: require('mini.indentscope')
490.234  000.793  000.793: require('nui.utils.autocmd')
140.490  000.792  000.792: require('nvim-devdocs.config')
176.997  000.792  000.792: require('colorizer.trie')
021.717  000.791  000.791: require('mini.splitjoin')
026.990  000.999  000.788: require('lualine')
229.248  005.604  000.788: require('luasnip.util.parser.ast_parser')
164.108  000.788  000.788: require('toggleterm.lazy')
331.643  000.787  000.787: require('telescope.builtin')
139.873  000.787  000.787: require('nvim-treesitter.utils')
078.787  005.448  000.787: require('plenary.log')
480.842  000.786  000.786: sourcing /usr/share/nvim/runtime/plugin/netrwPlugin.vim
026.969  000.998  000.785: require('lualine')
514.432  000.782  000.782: require('cmp_path')
226.575  002.821  000.782: require('luasnip.util.parser.ast_utils')
168.695  001.960  000.782: require('toggleterm.config')
077.182  000.781  000.781: require('dracula.groups')
144.572  057.324  000.781: require('nvim-devdocs.pickers')
170.290  000.780  000.780: require('vim.lsp.protocol')
395.728  003.505  000.778: require('cmp.source')
493.144  001.321  000.778: require('nui.split')
472.455  009.466  000.774: require('nui.layout')
127.230  001.380  000.773: require('telescope.previewers.term_previewer')
337.727  002.413  000.772: require('telescope._extensions.file_browser.finders')
511.833  000.772  000.772: require('cmp_cmdline')
286.975  010.852  000.771: require('nui.layout')
094.612  000.770  000.770: require('plenary.strings')
204.090  004.436  000.769: require('luasnip.loaders.util')
107.206  001.303  000.769: require('telescope._')
160.104  001.390  000.769: require('todo-comments.config')
283.453  004.447  000.768: sourcing /etc/xdg/nvim/plugin/keymap.lua
329.808  013.125  000.768: require('lspconfig.configs')
111.270  001.328  000.768: require('telescope')
398.738  001.198  000.767: require('cmp.utils.window')
163.319  003.183  000.765: require('nvim-treesitter.query')
121.604  000.765  000.765: require('dracula.groups')
021.985  000.764  000.764: require('mini.splitjoin')
169.595  000.764  000.764: require('vim.version')
102.950  000.763  000.763: require('telescope.finders.async_job_finder')
411.842  001.174  000.763: require('cmp.utils.window')
027.024  000.949  000.761: require('lualine')
095.868  000.761  000.761: require('telescope.config.resolve')
301.111  010.739  000.761: require('nui.layout')
201.338  002.403  000.760: require('luasnip.default_config')
297.998  000.758  000.758: require('nui.utils.autocmd')
476.044  000.757  000.757: require('nui.layout.utils')
098.445  000.756  000.756: require('telescope.log')
384.009  000.753  000.753: require('cmp.utils.misc')
207.756  001.112  000.752: require('luasnip')
370.866  000.752  000.752: require('lspconfig.manager')
477.379  001.301  000.752: require('nui.split')
333.904  013.068  000.752: require('lspconfig.configs')
337.591  012.749  000.751: require('lspconfig.configs')
141.905  057.696  000.750: require('nvim-devdocs.pickers')
002.993  001.186  000.749: require('vim._defaults')
170.653  000.747  000.747: require('vim.version')
283.890  000.747  000.747: require('nui.utils.autocmd')
149.382  007.497  000.747: require('vim.treesitter')
219.897  010.591  000.745: require('cmp')
391.176  005.384  000.744: require('cmp.config')
084.991  001.012  000.744: require('luasnip.nodes.util')
134.592  000.744  000.744: require('nvim-devdocs.config')
284.837  007.698  000.743: require('nui.popup')
217.215  000.742  000.742: require('luasnip.util.mark')
298.998  007.608  000.741: require('nui.popup')
488.576  001.188  000.740: require('cmp_buffer.buffer')
155.712  003.337  000.740: require('nvim-treesitter.query')
324.365  000.739  000.739: require('lint')
220.825  003.607  000.738: require('luasnip.util.environ')
024.919  000.923  000.737: require('lualine')
510.153  001.247  000.736: require('cmp_buffer.buffer')
026.063  000.927  000.736: require('lualine')
182.073  001.327  000.736: require('dracula')
122.283  001.355  000.736: require('telescope.previewers.term_previewer')
202.871  000.735  000.735: require('luasnip.util.path')
150.968  001.089  000.734: require('luasnip')
219.319  000.731  000.731: require('luasnip.util.select')
203.361  002.226  000.730: require('luasnip.session.snippet_collection')
143.538  068.121  000.729: require('nvim-devdocs')
155.003  000.729  000.729: require('nvim-treesitter.ts_utils')
090.267  001.886  000.726: require('luasnip.nodes.node')
479.251  000.725  000.725: sourcing /usr/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
388.870  000.725  000.725: require('cmp.types.lsp')
316.201  000.725  000.725: require('lint')
409.066  003.144  000.725: require('cmp.source')
174.792  000.724  000.724: require('vim.version')
167.386  001.331  000.724: require('todo-comments.config')
005.444  002.429  000.724: require('vim._defaults')
228.910  005.859  000.724: require('luasnip.util.parser.ast_parser')
201.131  000.724  000.724: require('luasnip.util.path')
126.263  000.724  000.724: require('telescope.mappings')
095.873  002.741  000.723: require('telescope.pickers.entry_display')
149.359  000.723  000.723: require('vim.treesitter._range')
157.089  000.718  000.718: require('vim.treesitter._range')
204.080  000.717  000.717: require('luasnip.util.log')
493.862  000.715  000.715: require('nui.layout.float')
391.193  006.097  000.712: require('cmp.utils.async')
162.687  000.712  000.712: require('nvim-treesitter.ts_utils')
490.950  000.712  000.712: require('nui.utils.keymap')
228.012  002.550  000.711: require('luasnip.util.parser.ast_utils')
158.552  000.711  000.711: require('vim.lsp.rpc')
460.632  000.711  000.711: require('telescope._extensions.file_browser.utils')
176.477  000.710  000.710: require('colorizer.trie')
113.502  001.309  000.706: require('telescope.actions.set')
107.834  019.830  000.703: require('telescope.finders')
476.075  009.436  000.703: require('nui.popup')
402.113  006.383  000.702: require('cmp.view')
021.181  000.702  000.702: require('mini.splitjoin')
483.753  000.702  000.702: sourcing /usr/share/nvim/runtime/plugin/gzip.vim
158.345  001.101  000.701: require('luasnip')
391.147  000.698  000.698: require('cmp.config.compare')
147.275  000.698  000.698: require('vim.treesitter.language')
205.076  002.201  000.697: require('luasnip.session.snippet_collection')
105.235  001.268  000.697: require('plenary.async.control')
399.515  003.146  000.697: require('cmp.source')
320.361  000.697  000.697: require('lint')
076.540  000.696  000.696: require('dracula.groups')
229.128  000.695  000.695: require('luasnip.nodes.choiceNode')
199.531  000.695  000.695: require('luasnip.extras.filetype_functions')
458.510  000.694  000.694: require('telescope._extensions.file_browser.utils')
180.174  000.693  000.693: require('colorizer.sass')
156.431  000.693  000.693: require('nvim-treesitter.shell_command_selectors')
124.020  001.238  000.692: require('telescope.actions.set')
213.873  000.692  000.692: require('luasnip.util.ext_opts')
480.027  000.691  000.691: sourcing /usr/share/nvim/runtime/plugin/matchparen.vim
